measure,id,date,TTFB,adult_site,aft,avgRun,bytesIn,bytesInDoc,bytesOut,bytesOutDoc,cached,connections,date,docCPUms,docCPUpct,docTime,domContentLoadedEventEnd,domContentLoadedEventStart,domElements,domTime,effectiveBps,effectiveBpsDoc,firstPaint,fixed_viewport,fullyLoaded,fullyLoadedCPUms,fullyLoadedCPUpct,gzip_savings,gzip_total,image_savings,image_total,isResponsive,lastVisualChange,loadEventEnd,loadEventStart,loadTime,minify_savings,minify_total,optimization_checked,pageSpeedVersion,render,requestsDoc,requestsFull,responses_200,responses_404,responses_other,result,run,score_cache,score_cdn,score_combine,score_compress,score_cookies,score_etags,score_gzip,score_keep-alive,score_minify,score_progressive_jpeg,server_count,server_rtt,titleTime
average,160201_0_558,1454323111,439,0,0,1,397394.33333333,371303.66666667,9036,6308,0,7.3333333333333,1454323090.6667,2145.8333333333,93.333333333333,2228,0,0,366,0,163050,217498.66666667,0,-1,2990.6666666667,3083.3333333333,60.666666666667,0,306417.33333333,9635,87049,-1,2489.3333333333,0,0,2228,0,248694,1,1.12,999.66666666667,11,14,12,0,1,0,2,75,100,100,88,28,100,100,100,100,0,5,28,1099.6666666667,
standardDeviation,160201_0_558,1454323111,16,0,0,null,275,33357,14,1047,0,0,8,500,3,476,0,0,0,0,37210,40050,0,0,518,467,3,0,275,0,0,0,461,0,0,476,0,0,0,0,187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,
median,160201_0_558,1454323111,415,0,0,null,397770,395171,9056,7045,0,7,1454323080,1968.75,96,1977,0,0,366,0,215593,252990,0,-1,2260,2421.875,56,0,306793,9635,87049,-1,1839,0,0,1977,0,248694,1,"1.12",735,12,14,12,0,1,0,1,75,100,100,88,28,100,100,100,100,0,5,28,753,
average,160115_0_526,1452854541,658,0,0,1,354629,354287,8452,6807,0,7,1452854496,2234.375,100,2179.5,0,0,271,0,203284.5,232854,0,-1,2402.5,3335.9375,74,0,305491,0,45690,-1,2108.5,0,0,2179.5,0,249556,1,1.12,995,12,13,11,0,1,0,2,63,100,100,100,30,100,100,100,100,-1,1,28,1025,
standardDeviation,160115_0_526,1452854541,215,0,0,null,16,16,31,0,0,0,38,218,0,212,0,0,0,0,533,393,0,0,210,445,6,0,16,0,0,0,226,0,0,212,0,0,0,0,233,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,239,
median,160115_0_526,1452854541,443,0,0,null,354613,354271,8421,6807,0,7,1452854458,2015.625,100,1967,0,0,271,0,202751,232461,0,-1,2192,2890.625,68,0,305475,0,45690,-1,1882,0,0,1967,0,249556,1,"1.12",762,12,13,11,0,1,0,1,63,100,100,100,30,100,100,100,100,-1,1,28,786,
average,160101_0_514,1451644857,1226.6666666667,0,0,2,651860,649361.33333333,9809.3333333333,7818.3333333333,0,8.6666666666667,1451644814,11031.25,100,8118.6666666667,0,0,297.66666666667,0,94282.666666667,100547.66666667,0,-1,8503.3333333333,12473.958333333,91.333333333333,0,315539,0,331823,-1,10557,0,0,8118.6666666667,0,250924,1,1.12,2345.3333333333,13.333333333333,15.333333333333,13,0,1.3333333333333,0,2,69,100,100,100,26.666666666667,100,100,100,100,-1,5,27.666666666667,2653,
standardDeviation,160101_0_514,1451644857,862,0,0,null,3693,3711,261,267,0,0,15,4305,0,2583,0,0,0,0,21019,25550,0,0,2501,4427,5,0,116,0,3910,0,2493,0,0,2583,0,0,0,0,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592,
median,160101_0_514,1451644857,852,0,0,null,648271,645704,10178,8196,0,9,1451644812,12171.875,100,7604,0,0,299,0,91745,95631,0,-1,7918,13640.625,94,0,315592,0,327953,-1,9988,0,0,7604,0,250924,1,"1.12",1835,14,16,13,0,2,0,2,69,100,100,100,28,100,100,100,100,-1,5,28,2357,
average,151215_0_50F,1450176104,890,0,0,3,363453.66666667,321880.66666667,9269.6666666667,6299.6666666667,0,8.3333333333333,1450176079.6667,3286.4583333333,100,3120.6666666667,0,0,281,0,106298.66666667,154310.66666667,0,-1,4345.6666666667,6322.9166666667,97,0,308942,0,50805,-1,6304,0,0,3120.6666666667,0,250435,1,1.12,1781.6666666667,11.333333333333,14.333333333333,12,0,1.3333333333333,0,2,58,100,100,100,28.666666666667,100,100,100,100,-1,5,28.666666666667,1846,
